f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,is_Stego
-5.723,-6.581,-6.4773,0.77634,1.37,1.1285,-10.28,-1.422,-1.7359,305.31,6.6726,8.0178,-6.4006,1.3053,-1.4554,6.1809,-6.5421,-5.8082,-6.4127,1.497,1.606,1.4683,-0.89116,-1.061,-1.0031,4.8653,6.0263,5.009,-5.7336,1.5038,-0.96675,5.2637,-2.3688,0.7277,-0.35923,3.4488,-3.0164,1.5951,-0.95813,5.101,-2.6113,0.82248,-0.092194,3.3019,4.4601,3.4777,0.63335,7.1008,-2.8102,2.0612,-0.90819,4.4496,-1.1124,2.353,0.2338,5.7286,-1.3364,1.6394,-0.97809,5.3901,-6.5848,1.2659,-1.4019,6.5758,-1.7863,3.0976,0.59591,6.8133,-2.0189,1.9418,-0.71027,4.7202,-7.117,1.568,-1.0245,5.4579,1
-6.6458,-6.3229,-6.5862,1.201,0.95559,1.2209,-3.5449,-4.5958,-3.3498,60.916,96.88,58.917,-6.6507,1.2054,-1.6328,7.5867,-5.8862,-5.98,-5.5372,1.3535,1.4823,1.4297,-1.1139,-1.2935,-1.1793,5.0093,6.213,5.5591,-5.1191,0.99186,-1.5493,7.6795,-2.3992,0.89058,-0.2206,3.2971,-2.9603,1.7698,-0.81244,4.8099,-2.6768,0.87672,-0.32507,3.6243,4.7214,3.0686,-0.15926,3.6343,-2.6562,2.121,-0.86978,4.5783,-0.47056,1.6191,-0.77815,6.6326,-1.5625,1.6732,-0.85206,5.3433,-6.778,1.1989,-1.4016,5.9416,-0.72152,2.0943,-0.49686,6.2277,-1.7754,1.9859,-0.63639,4.4086,-7.1578,1.4762,-1.2469,5.8185,1
-6.2416,-6.6698,-6.3736,0.9996,1.2595,1.2911,-5.1333,-3.6546,-5.7863,107.33,64.699,121.41,-6.3629,1.1627,-1.8418,8.9464,-7.2671,-7.3611,-6.9765,1.3737,1.465,1.4448,-1.2863,-1.3419,-1.1542,6.142,6.1751,5.3831,-6.9032,1.3226,-1.2872,6.1309,-3.171,0.53508,-0.73161,4.499,-3.8787,1.4555,-1.2256,5.9925,-3.4304,0.54986,-0.70739,4.4712,3.2814,2.5155,-0.32668,4.4779,-3.1084,1.8205,-0.98698,5.4764,-1.0355,1.5856,-0.6521,7.1196,-1.4978,1.2279,-1.4117,6.1319,-6.6055,1.3651,-1.5586,7.0431,-2.1451,1.9056,0.13308,8.8848,-2.8373,1.7087,-1.1266,5.5727,-7.9328,1.4182,-1.2742,6.062,1
-6.7204,-6.4915,-6.1254,1.3437,1.2823,0.94811,-1.3312,-1.4769,-4.3175,6.4933,6.4433,109.83,-6.2945,1.6064,-1.0918,4.6974,-6.8871,-6.93,-6.7231,1.7445,1.8252,1.702,-1.0069,-1.0656,-1.1343,5.0283,5.3078,5.5194,-6.3891,1.5735,-1.1564,5.1741,-3.0588,0.81242,-0.7273,4.0397,-3.9265,2.0112,-1.1334,5.3859,-3.3622,1.196,-0.63471,3.2455,1.9966,8.2339,-0.22241,2.6623,-3.1194,2.8876,-0.59529,3.594,-2.107,3.0293,-1.0929,4.1836,-2.5466,3.3069,-1.0985,3.8967,-5.7247,0.65023,-2.2105,12.384,-2.963,3.9568,-1.026,4.2775,-3.4065,4.0484,-1.0688,3.7666,-7.8096,1.5488,-1.1432,5.3085,1
-7.055,-6.3794,-7.2717,1.0532,0.59529,1.237,-1.6414,-2.3645,-1.6047,7.7075,15.34,7.5219,-6.6935,0.82496,-2.2346,13.866,-7.6355,-7.6833,-7.774,1.6008,1.5839,1.4866,-1.1548,-1.3359,-1.372,5.3789,5.8169,6.4715,-7.353,1.4403,-1.4008,6.7423,-3.5422,1.2971,-1.3879,5.1888,-4.3624,2.1241,-1.187,5.1099,-3.8165,1.6653,-1.4575,5.2019,1.8264,10.02,-1.3558,4.3541,-3.1707,2.3359,-0.63423,4.2547,-2.4465,2.0643,-0.76277,3.7609,-2.5689,2.2228,-0.87325,3.6261,-6.8891,0.94165,-1.7411,8.4276,-3.7793,3.3923,-1.068,4.5905,-3.9667,3.5045,-1.0671,3.9671,-8.401,1.3692,-1.3803,6.8508,1
-6.7222,-6.7774,-6.7243,1.3089,1.3572,1.4001,-3.0672,-2.9579,-4.3355,50.454,47.487,83.319,-6.5532,0.98277,-1.7727,8.2752,-7.3618,-7.253,-7.3514,1.621,1.4286,1.6127,-1.3471,-1.2805,-0.98613,6.3739,6.1626,5.1073,-6.9125,1.3448,-1.5999,7.975,-3.2927,0.74167,-0.8251,4.183,-4.1702,1.8235,-1.0965,5.229,-3.5658,0.95397,-0.91754,3.9926,2.194,6.527,-0.82103,3.4599,-3.17,2.4384,-0.61485,3.7762,-2.0692,2.674,-0.86214,3.8014,-2.1376,1.6203,-1.2954,5.4222,-6.3693,1.0958,-1.659,7.9436,-3.3619,3.8559,-0.86636,3.8581,-3.4502,2.8871,-1.1129,4.2956,-8.04,1.4498,-1.2486,6.0283,1
-6.4471,-6.7823,-6.3279,1.1236,1.6695,0.93158,-4.171,-2.6117,-5.0132,77.889,35.243,111.3,-6.4166,0.89892,-2.0234,10.72,-7.3354,-7.121,-7.356,1.4213,1.6458,1.4855,-1.3053,-1.3961,-1.2471,6.2139,5.8927,5.3355,-6.8184,1.2158,-1.6623,7.7046,-3.4829,1.1637,-0.94891,4.1677,-4.3404,2.3512,-1.0665,4.695,-3.8078,1.3114,-0.70411,3.4351,2.1177,8.0768,-1.1704,4.2493,-3.7319,2.9784,-0.46253,3.9213,-1.5596,1.7532,-0.91937,4.5065,-2.1301,2.7344,-1.1457,3.8111,-6.5913,1.2874,-1.1857,5.4812,-3.1471,4.3041,-0.96305,3.5785,-3.4658,3.4931,-1.0041,4.0797,-8.0232,1.4656,-1.3009,6.2455,1
-6.4565,-6.7086,-6.4308,1.0769,1.3022,0.92981,-2.1015,-1.5368,-1.752,11.645,6.9216,8.2779,-6.4539,0.89775,-1.9884,11.007,-7.3279,-7.1014,-7.3222,1.453,1.6393,1.414,-1.315,-1.4275,-1.3247,5.7244,6.67,5.9711,-6.7606,1.0912,-1.5497,6.6655,-3.5422,1.2026,-0.95186,4.0612,-4.4115,2.3578,-1.0018,4.463,-3.8576,1.4222,-0.84263,3.7449,2.2201,8.336,-1.2649,4.364,-3.8557,3.03,-0.45455,3.641,-1.5281,1.8081,-0.82915,3.8419,-2.0255,2.9011,-1.4147,5.0883,-6.5664,1.3001,-1.4186,6.6938,-3.0368,4.0886,-0.97305,3.8832,-3.3146,3.4042,-0.98521,3.9482,-8.0404,1.5026,-1.1731,5.3941,1
-6.8548,-6.0379,-6.6816,1.5487,0.49015,1.0104,-2.1849,-2.5745,-3.492,27.471,17.256,59.354,-6.6674,1.1579,-1.7745,7.6902,-7.3501,-7.5856,-7.5281,1.6233,1.7509,1.5195,-1.4179,-1.2924,-1.2329,6.6357,5.5916,5.5445,-7.0344,1.3127,-1.4206,6.2499,-3.6924,1.5743,-0.86329,3.1661,-4.4912,2.3577,-1.0163,4.7068,-4.0572,2.1211,-0.80915,2.7952,0.92114,13.432,-0.7683,2.5147,-3.0099,2.5461,-0.5743,3.5249,-2.8356,2.9357,-0.6346,4.018,-2.6909,1.967,-0.81877,4.607,-6.5062,0.88688,-1.5534,7.8417,-4.3218,4.3577,-0.4643,3.3348,-4.2955,4.2686,-0.73205,2.8502,-8.1993,1.4485,-1.2567,5.9514,1
-6.9086,-6.1808,-6.5061,1.4784,0.87446,1.1142,-1.3594,-4.7661,-1.8327,6.2923,100.85,8.5277,-6.6007,1.0449,-1.7383,7.6706,-6.6436,-6.7565,-6.7344,1.4115,1.4886,1.4848,-1.2668,-1.273,-1.3278,5.6743,5.7385,5.9974,-6.4059,1.3597,-1.4612,6.5984,-3.1843,0.59278,-0.90173,4.3365,-4.0534,1.6725,-1.1187,5.0221,-3.3788,0.64551,-0.84434,4.1007,2.4094,5.0705,-0.92408,3.7548,-3.3196,2.0939,-0.55606,3.9507,-1.6865,1.6707,-0.98776,5.3653,-1.825,1.4793,-1.5102,6.7355,-6.7504,1.0794,-1.651,7.9054,-2.4178,1.7951,-0.7261,5.8219,-2.6204,1.6565,-0.97186,4.7671,-7.8082,1.4047,-1.3554,6.3094,1
-6.9028,-6.175,-6.5945,1.5931,0.78341,1.0809,-3.4879,-2.149,-3.7988,58.916,11.021,68.124,-6.4078,0.85273,-2.067,9.7005,-6.8711,-6.8999,-6.9923,1.4024,1.447,1.4873,-1.3541,-1.0814,-1.2353,6.4054,4.9167,5.4768,-6.629,1.3537,-1.3169,6.0843,-3.1881,0.61746,-0.87642,4.2474,-4.073,1.7051,-1.1804,5.5332,-3.3941,0.70115,-0.96509,4.8062,2.3298,5.0929,-0.85978,3.5578,-3.2426,2.2269,-0.61052,4.098,-1.782,1.7633,-1.0843,5.8308,-1.9278,1.4381,-1.4437,6.7094,-6.5986,1.0423,-1.667,7.4947,-2.6021,1.8915,-0.75663,6.0347,-2.8163,1.6977,-1.2362,5.7179,-7.8905,1.3631,-1.2915,5.812,1
-6.6361,-6.6583,-6.7534,1.3101,1.353,1.3849,-2.8691,-2.8739,-1.483,48.587,45.747,7.3136,-6.8406,1.289,-1.3906,6.7511,-7.3907,-7.109,-7.0817,1.6211,1.5702,1.6334,-1.1055,-1.1953,-1.404,5.0384,5.3794,6.4641,-6.6156,1.3214,-1.5767,6.7787,-3.2724,0.85648,-0.8656,3.9555,-4.1461,2.1218,-1.1129,4.8886,-3.5749,1.1477,-0.80728,3.586,1.6449,9.386,-0.31559,2.6125,-3.1845,2.7869,-0.58576,3.5578,-2.2278,3.2305,-0.73599,4.0394,-2.6132,1.9423,-0.69443,3.728,-6.1034,0.9021,-1.6759,8.3282,-3.3535,4.0688,-0.48295,3.7882,-3.9386,3.8125,-0.78442,3.2691,-7.9454,1.4522,-1.2749,6.1474,1
-5.6491,-6.3275,-6.959,0.27555,1.229,1.3381,-3.134,-3.245,-2.9473,21.347,53.423,43.451,-6.6455,1.2521,-1.6578,8.1777,-6.2831,-5.8582,-6.102,1.7576,1.4059,1.6468,-1.0129,-1.3669,-1.1459,4.9904,6.377,5.362,-5.4104,1.1156,-1.7421,8.5675,-2.5935,1.0963,-0.13833,3.2617,-3.3617,2.1209,-0.60564,4.4776,-2.8594,1.2115,-0.232,3.2491,3.6246,4.4275,-0.090901,4.1458,-2.5773,1.9295,-0.89587,4.4365,-1.5932,2.1282,0.31018,8.8828,-1.7951,1.3836,-1.1548,5.7795,-6.7607,1.2603,-1.3592,5.8187,-1.8501,2.5484,0.57937,8.653,-2.0233,1.7616,-0.94093,4.938,-7.3674,1.4017,-1.3022,6.1825,1
-6.4525,-6.781,-6.5976,1.1668,1.2691,1.2787,-3.3958,-1.3093,-3.4201,70.908,6.2094,60.372,-6.5459,1.2288,-1.8463,9.9135,-7.3138,-7.2752,-7.2168,1.5311,1.4655,1.4239,-1.1492,-1.2765,-1.3217,5.4573,5.6102,5.6,-6.7958,1.2496,-1.4895,6.2963,-3.3373,0.8494,-0.8874,4.0889,-4.1963,1.9358,-1.2113,5.6123,-3.5848,1.0736,-0.83149,3.6995,2.4409,7.0919,-0.98718,4.0818,-3.4878,3.06,-0.62929,3.7247,-1.8504,2.705,-0.96592,4.381,-2.1187,2.6003,-1.1566,4.3072,-6.1186,0.95432,-1.6398,7.2485,-3.0544,3.7544,-0.75073,3.759,-3.3274,3.6991,-1.1022,4.0928,-7.9885,1.4008,-1.2802,5.9761,1
-6.4579,-6.8233,-6.6141,1.1952,1.293,1.2128,-3.434,-1.3258,-1.5087,71.141,6.4407,7.6958,-6.5491,1.2315,-1.6618,7.641,-7.3354,-7.2871,-7.2028,1.6199,1.4877,1.3838,-1.1004,-1.3337,-1.3659,4.7928,6.0363,6.0021,-6.8217,1.2371,-1.5596,7.0825,-3.3693,1.0094,-1.0567,4.3803,-4.245,2.2597,-1.2234,5.273,-3.6376,1.2054,-1.0357,4.4924,2.1256,8.3428,-1.0352,4.0156,-3.4597,3.0651,-0.55553,3.4106,-2.024,3.2297,-0.95099,3.9794,-2.3164,3.1145,-1.1289,3.823,-6.1313,0.97295,-1.6114,7.4241,-3.1775,3.964,-0.7621,4.0733,-3.4343,3.3801,-0.92922,3.4523,-7.9846,1.427,-1.2924,5.8795,1
-6.5762,-6.8372,-6.7539,0.96298,1.4008,1.2613,-3.6037,-2.4592,-2.6807,69.517,33.42,40.309,-6.884,1.3243,-1.4561,6.7116,-7.6514,-7.3522,-7.3648,1.7868,1.5619,1.5887,-1.1091,-1.1464,-1.1748,5.4493,5.2122,5.3108,-6.9782,1.4228,-1.4285,6.6882,-3.6266,1.1201,-0.83986,3.5558,-4.4004,2.0622,-1.0763,4.9645,-3.983,1.569,-0.83181,3.1757,0.92334,10.883,-0.60353,2.441,-3.1,2.572,-0.55975,3.5933,-2.5917,4.0486,-0.42006,3.6518,-2.7731,2.0145,-0.44738,3.0397,-6.1623,0.78809,-1.9089,9.98,-4.0271,5.76,-0.35813,4.0309,-4.5303,4.9831,-0.72717,2.788,-8.1064,1.4134,-1.3514,6.2189,1
-6.1998,-5.9761,-6.4123,0.86165,0.65178,1.0086,-4.8034,-2.297,-6.3572,107.49,11.94,147.96,-6.0479,1.0944,-1.8647,7.366,-7.3038,-7.2752,-7.2844,1.7794,1.7161,1.5391,-1.1924,-1.2401,-1.1177,5.4268,5.68,5.3648,-6.8246,1.5163,-1.4067,6.5243,-3.4205,0.93586,-0.695,3.2612,-4.1404,1.9152,-1.1794,5.4548,-3.7746,1.3156,-0.75205,3.2023,1.6149,9.3772,-0.52012,2.6409,-3.1587,2.8984,-0.64601,3.6437,-2.3735,2.6244,-0.23325,2.5009,-2.8929,3.6585,-0.82499,2.9528,-6.4537,0.82506,-1.7672,10.107,-4.1079,6.4019,-0.52563,2.5731,-4.3336,5.3241,-0.71542,2.7117,-8.0211,1.5505,-1.1476,5.2674,1
-6.5108,-7.3309,-7.0205,0.79179,1.5453,1.1649,-1.781,-1.112,-1.091,9.0473,5.0947,5.3603,-7.2113,1.8286,-1.1322,4.7196,-6.8826,-7.0675,-7.0168,1.6065,1.7733,1.5887,-1.0662,-1.2143,-0.86229,4.7587,6.0567,4.6883,-6.4737,1.499,-1.1271,5.1026,-2.8578,0.95791,-0.40447,4.5004,-3.6921,2.0439,-0.93469,5.0815,-3.0731,1.3832,-0.32617,3.2367,3.0896,11.39,-0.16614,2.8267,-3.4136,3.3002,-0.69309,3.825,-2.1714,2.6422,-0.72095,3.4429,-2.1345,1.927,-0.75509,3.4525,-6.9094,1.0983,-1.251,6.5926,-3.2112,3.8555,-0.77138,3.9523,-3.2967,3.3621,-0.89179,3.4786,-7.8903,1.6044,-1.099,5.7644,1
-6.2639,-5.9896,-6.5934,0.86538,0.61847,0.80146,-5.1138,-2.3202,-2.1015,114.41,12.376,10.829,-6.1502,1.1141,-1.9861,8.2496,-7.1772,-7.1657,-7.2652,1.7067,1.6497,1.4826,-1.1785,-1.2488,-1.2249,5.1499,5.6424,5.5988,-6.6881,1.4489,-1.3911,6.0346,-3.4159,0.8934,-0.76464,3.8014,-4.1155,1.9073,-1.1716,5.3269,-3.7831,1.1567,-0.6023,3.0889,1.6815,8.3127,-0.42952,2.7637,-3.1987,3.1596,-0.70047,3.8901,-2.3936,2.5585,-0.21652,2.4629,-3.0335,3.8394,-0.79167,2.6671,-6.603,0.90419,-1.4545,7.1929,-4.1562,5.9349,-0.44568,2.4804,-4.3851,4.9011,-0.60204,2.5732,-7.9096,1.4657,-1.1962,5.403,1
-6.3671,-6.7024,-6.4162,0.63889,1.2746,1.0964,-5.3771,-2.8047,-1.6505,149.28,40.659,7.2434,-6.6079,1.0907,-1.6289,7.2949,-7.5828,-7.4135,-7.3657,1.845,1.6098,1.5781,-1.0992,-1.2247,-1.3404,4.7391,5.2974,6.148,-6.9795,1.3353,-1.4309,6.2687,-3.6054,1.3129,-0.99652,3.6766,-4.4832,2.3083,-1.1178,5.0511,-3.9474,1.7267,-0.8843,3.2592,0.92891,10.675,-0.71878,2.7777,-3.2159,3.1377,-0.63826,3.5638,-2.4777,3.4595,-0.62498,3.1625,-2.7219,2.3479,-0.51724,3.143,-6.2941,0.88065,-2.1663,10.838,-3.835,4.8838,-0.64516,2.9903,-4.31,4.6897,-0.72296,2.933,-8.1348,1.4064,-1.3304,6.0233,1
-6.6468,-6.4714,-6.3999,0.87053,1.1772,1.1196,-5.3772,-2.8981,-1.6332,143.09,44.809,7.1115,-6.5496,0.88916,-1.8422,8.7102,-7.7625,-7.476,-7.404,2.2875,1.6299,1.4538,-0.84441,-1.2602,-1.3929,4.0209,5.7227,6.5656,-6.9992,1.2944,-1.5593,7.4416,-3.8212,1.8623,-0.57619,2.7677,-4.7821,3.0459,-0.92974,4.2833,-4.2042,2.5885,-0.56361,2.539,0.48898,15.54,-0.55745,2.2155,-3.3546,3.8173,-0.59098,3.0476,-2.4255,2.6821,-0.61853,3.4543,-2.4865,1.6039,-0.57675,3.9719,-6.2547,0.79277,-2.1235,13.449,-4.0323,4.999,-0.5814,3.1729,-4.4864,5.0641,-0.65103,2.7533,-8.1482,1.5263,-1.1759,5.6018,1
-6.7737,-6.7811,-6.2201,1.3727,1.22,0.89197,-2.9886,-1.4116,-8.2633,48.145,6.6643,224.21,-6.5432,1.1789,-1.8568,9.0569,-7.4073,-7.3774,-7.226,1.768,1.7119,1.4739,-1.2794,-1.4084,-1.2655,5.5772,6.6607,6.1683,-6.8618,1.3585,-1.4742,6.6629,-3.2603,0.76021,-0.77996,3.903,-4.1282,1.8159,-1.2349,5.9273,-3.5316,1.0057,-0.769,3.5211,2.0783,8.2761,-0.45342,2.5401,-3.09,2.539,-0.62366,3.7552,-2.3182,3.4376,-0.62023,2.609,-2.6542,2.9661,-0.76015,2.9833,-6.0227,0.70918,-2.0359,10.714,-3.6226,5.3014,-0.81595,3.0723,-3.9439,4.5189,-0.86143,3.0942,-8.0893,1.5863,-1.3258,6.4096,1
-6.7682,-6.7879,-6.7039,1.279,1.3728,1.4863,-1.2213,-2.5343,-2.3537,5.5581,37.139,32.502,-6.6657,1.0473,-1.2241,6.9201,-7.3495,-7.5144,-7.63,1.5953,1.5252,1.9351,-1.4164,-1.1902,-1.1214,6.2444,5.196,5.2774,-7.0547,1.3778,-1.4373,6.4123,-3.6058,1.1714,-0.4158,2.4978,-4.494,2.6161,-0.99616,4.4587,-3.8974,1.1947,-0.14027,2.2739,1.2697,13.121,-0.83298,2.7341,-3.3359,3.1601,-0.57609,3.3836,-1.7559,1.4524,-1.019,6.1423,-1.7054,1.0289,-1.6106,7.1393,-6.3854,0.99243,-1.7762,9.0046,-3.7276,3.4218,-0.40678,3.0988,-3.8732,2.8423,-0.71112,3.3483,-8.1464,1.4346,-1.2425,5.9235,1
-5.1358,-6.6489,-6.1209,0.2187,1.434,1.0453,-3.2845,-3.7948,-6.1406,26.689,69.911,138.66,-6.1125,1.0638,-1.7028,8.0673,-6.0215,-5.5839,-5.8556,1.7035,1.3568,1.4917,-1.0405,-1.4752,-1.0441,4.7836,6.9937,4.8643,-5.1935,1.0233,-1.5961,7.3095,-2.5905,0.79002,-0.42855,3.8196,-3.3624,1.7607,-0.87731,4.9324,-2.7838,0.85479,-0.45582,3.6831,3.3531,3.8962,-0.40341,4.2945,-2.7489,1.9237,-0.92233,4.7327,-1.2076,2.0668,0.12957,8.9693,-1.4036,1.279,-1.3627,6.4909,-6.7252,1.3416,-1.448,6.6309,-1.5626,2.4661,0.67424,8.3093,-1.7273,1.6636,-0.91678,4.765,-7.0869,1.319,-1.3732,6.4845,1
-6.4317,-6.1393,-6.1188,0.95175,0.75316,0.85586,-6.4477,-5.8005,-4.9964,172.27,148.6,116.38,-6.3099,0.89336,-2.0833,10.599,-7.5042,-7.5026,-7.3862,2.0744,1.5992,1.3394,-0.99379,-1.2275,-1.4567,4.5193,5.4071,6.6129,-7.0353,1.3091,-1.5061,7.1778,-3.6009,1.3992,-0.7852,3.3351,-4.4921,2.3534,-1.025,4.7575,-3.8959,1.815,-0.79931,3.1656,1.6669,10.411,-1.0485,3.5258,-3.4984,3.3172,-0.52415,3.3743,-2.1803,3.1431,-0.31706,4.6547,-2.4745,3.5322,-1.0762,3.5597,-6.3077,0.93262,-1.6628,8.1094,-3.5046,4.4638,-0.055277,4.8264,-3.7335,3.8603,-0.89805,3.3922,-8.1413,1.513,-1.1939,5.8368,1
-6.7986,-6.4886,-6.9325,1.6054,1.1179,1.644,-5.3384,-5.0053,-1.373,100.83,108.62,5.5558,-6.6993,1.0868,-1.5805,6.928,-7.0091,-7.1169,-7.2077,1.4393,1.4882,1.201,-1.1692,-1.18,-1.6057,5.5967,5.3703,7.4243,-6.7288,1.1915,-1.5442,7.2876,-3.1221,0.52137,-0.74458,4.1792,-3.8787,1.5065,-1.1558,5.25,-3.3798,0.57053,-0.75718,4.0711,3.3895,2.9367,-0.30557,4.2171,-3.5383,2.0719,-0.68652,4.061,-1.225,1.4194,-1.1796,6.4815,-1.2502,1.2141,-1.7676,9.0066,-6.9695,1.3934,-1.2578,5.7132,-2.3124,1.6324,-0.66305,7.4377,-2.5144,1.8331,-1.0461,5.0303,-7.9146,1.3571,-1.3559,6.2728,1
