f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,is_Stego
-5.7888,-6.6341,-6.5111,0.80115,1.3663,1.0981,-10.053,-1.4041,-1.672,287.03,6.5382,7.5665,-6.4457,1.3084,-1.5555,7.2803,-6.5778,-5.8349,-6.4393,1.5505,1.6155,1.4682,-1.0054,-1.0289,-1.0075,5.4895,5.4906,5.054,-5.7598,1.5159,-0.94225,5.066,-2.4101,0.7293,-0.39713,3.6528,-3.0341,1.5986,-1.0185,5.4204,-2.6624,0.82157,-0.090659,3.2593,4.4104,3.4311,0.62249,6.8528,-2.8432,2.0414,-0.89123,4.531,-1.1735,2.3252,0.25665,5.5415,-1.3997,1.6805,-1.0981,6.2264,-6.6412,1.2686,-1.3786,6.3291,-1.8377,3.0436,0.61744,6.5433,-2.0693,1.9709,-0.76922,5.0328,-7.155,1.5947,-1.0979,6.0696,1
-6.6994,-6.3937,-6.6374,1.1926,0.99524,1.2294,-3.5453,-4.5587,-3.3186,61.473,90.922,57.732,-6.7015,1.1857,-1.5345,6.7845,-5.9089,-5.9977,-5.561,1.3916,1.4759,1.4794,-1.2307,-1.2932,-1.2981,5.8332,6.4395,6.2298,-5.1335,0.99094,-1.4913,7.1562,-2.4355,0.89424,-0.2211,3.2977,-2.9758,1.7636,-0.78733,4.6255,-2.7152,0.86554,-0.2502,3.2212,4.6759,3.0972,-0.17358,3.6021,-2.691,2.1264,-0.83993,4.3615,-0.51436,1.5808,-0.68485,6.1599,-1.6081,1.6654,-0.82286,5.2498,-6.8335,1.2483,-1.642,8.3722,-0.74732,2.0814,-0.46783,5.8159,-1.8004,1.9841,-0.63893,4.4535,-7.1822,1.4772,-1.2551,5.9228,1
-6.2909,-6.7313,-6.443,0.96513,1.2552,1.2869,-5.1904,-3.69,-5.7323,112.88,65.335,120.64,-6.4229,1.1456,-1.7755,8.1767,-7.2988,-7.3888,-7.0039,1.3562,1.4317,1.4634,-1.222,-1.2819,-1.2044,5.7069,5.9173,5.8134,-6.9361,1.3146,-1.2611,6.1146,-3.2178,0.53942,-0.75365,4.7121,-3.901,1.4564,-1.2428,6.1768,-3.4873,0.55016,-0.68899,4.3519,3.2241,2.4903,-0.30466,4.3005,-3.152,1.8235,-0.99694,5.5126,-1.1008,1.5682,-0.65275,6.8384,-1.5627,1.2389,-1.4719,6.6938,-6.6686,1.3369,-1.4488,6.1529,-2.2061,1.8809,0.092877,8.7857,-2.894,1.6805,-1.0609,5.0787,-7.9708,1.4107,-1.2454,5.7842,1
-6.7715,-6.5414,-6.1732,1.352,1.2903,0.93078,-1.3558,-1.5044,-4.3282,6.5609,6.5728,112.51,-6.3532,1.6724,-1.264,5.8891,-6.9227,-6.9595,-6.7474,1.7813,1.813,1.6851,-1.089,-1.0413,-1.1044,5.5422,5.1809,5.3776,-6.4238,1.6395,-1.3647,6.7742,-3.0987,0.7985,-0.69238,3.7715,-3.9412,1.9742,-1.087,5.1393,-3.4098,1.1818,-0.63332,3.3384,1.9542,8.1183,-0.22118,2.6538,-3.1388,2.848,-0.54911,3.476,-2.1701,3.0505,-1.0939,4.1255,-2.6106,3.3375,-1.1291,4.0997,-5.7734,0.64069,-2.302,15.163,-3.0108,3.9293,-1.0137,4.2871,-3.4575,4.0607,-1.068,3.7899,-7.8462,1.5673,-1.2363,6.0311,1
-7.1224,-6.4171,-7.3368,1.0667,0.57791,1.2536,-1.708,-2.2256,-1.6693,8.2938,12.261,8.0028,-6.7481,0.81012,-1.9973,9.862,-7.6614,-7.7075,-7.8012,1.6151,1.582,1.4635,-1.2074,-1.3342,-1.288,5.8506,5.7425,5.7733,-7.384,1.4692,-1.4657,7.1697,-3.5871,1.282,-1.3878,5.2043,-4.3862,2.1381,-1.2081,5.2476,-3.8721,1.6421,-1.4454,5.1562,1.774,9.9619,-1.35,4.3212,-3.2124,2.3323,-0.56613,3.9462,-2.5099,2.0623,-0.75847,3.7513,-2.6327,2.2213,-0.86996,3.5939,-6.9558,0.95275,-1.7826,8.8116,-3.8332,3.3592,-1.0538,4.5416,-4.0215,3.4729,-1.0557,3.9028,-8.4342,1.3526,-1.3384,6.3596,1
-6.7923,-6.8423,-6.7837,1.3101,1.3407,1.415,-3.0149,-2.8862,-4.3613,49.644,47.29,81.984,-6.6227,1.0104,-1.8272,8.7425,-7.3905,-7.2888,-7.3799,1.5852,1.4609,1.6088,-1.2441,-1.3096,-0.95293,5.7212,5.9255,4.982,-6.9481,1.3507,-1.6327,9.0234,-3.3366,0.73184,-0.8202,4.19,-4.1915,1.8157,-1.077,5.1248,-3.6198,0.94032,-0.90117,3.9067,2.139,6.5176,-0.83136,3.5192,-3.2139,2.4438,-0.64188,4.0314,-2.1325,2.6616,-0.826,3.5381,-2.2019,1.6214,-1.2887,5.3431,-6.4309,1.1191,-1.7748,8.9557,-3.4185,3.8317,-0.86294,3.8724,-3.5079,2.8653,-1.0864,4.1006,-8.077,1.4506,-1.2486,5.8577,1
-6.5137,-6.8361,-6.3983,1.1231,1.6715,0.93275,-4.22,-2.6332,-4.9686,78.345,35.189,110.12,-6.4794,0.89437,-1.9675,9.7748,-7.3656,-7.161,-7.3912,1.4187,1.6454,1.5189,-1.2679,-1.3789,-1.3537,5.7535,5.8208,6.2671,-6.8611,1.2406,-1.6393,7.2419,-3.5235,1.1532,-0.95937,4.2069,-4.3619,2.3764,-1.1314,5.235,-3.8563,1.2905,-0.70675,3.4423,2.0736,7.9813,-1.1572,4.1727,-3.7627,2.9446,-0.40117,3.5186,-1.6236,1.7431,-0.85544,3.8915,-2.1942,2.7308,-1.1387,3.771,-6.6437,1.2939,-1.233,5.8801,-3.2055,4.2874,-0.96442,3.594,-3.5195,3.4127,-0.93313,3.6445,-8.0527,1.4224,-1.2174,5.5876,1
-6.5198,-6.7736,-6.4986,1.0344,1.3103,0.94322,-1.787,-1.5193,-1.831,8.1087,6.7942,9.2287,-6.5195,0.8909,-1.8758,9.1002,-7.3579,-7.1388,-7.3548,1.4417,1.6146,1.3938,-1.3377,-1.3495,-1.2907,6.3385,5.9592,6.0089,-6.8033,1.1076,-1.6393,7.8783,-3.5835,1.1912,-0.95769,4.0858,-4.4338,2.3688,-1.0209,4.5634,-3.906,1.3991,-0.83569,3.6816,2.1702,8.2953,-1.262,4.3373,-3.8868,3.0116,-0.41446,3.4987,-1.5934,1.8203,-0.86131,4.087,-2.0899,2.9057,-1.4288,5.2514,-6.6251,1.2901,-1.3522,6.0811,-3.0973,4.0958,-0.99019,4.0006,-3.3733,3.3886,-0.98331,3.9273,-8.0734,1.4846,-1.204,5.829,1
-6.9136,-6.0991,-6.746,1.5194,0.48648,1.0208,-2.0969,-2.5173,-3.5157,27.228,16.761,58.47,-6.7269,1.1439,-1.7321,7.3759,-7.3734,-7.6063,-7.5568,1.5838,1.7191,1.5138,-1.3101,-1.2207,-1.2539,5.8291,5.1615,5.8493,-7.0668,1.3571,-1.5448,7.278,-3.7322,1.5434,-0.85745,3.1526,-4.5127,2.3641,-1.0342,4.7814,-4.1089,2.0908,-0.80881,2.8006,0.87464,13.321,-0.76372,2.5061,-3.0495,2.5655,-0.59463,3.7072,-2.8975,2.9122,-0.59723,3.8187,-2.7538,1.9523,-0.76819,4.1569,-6.5663,0.89019,-1.5281,7.2732,-4.378,4.3547,-0.48266,3.4728,-4.3524,4.2711,-0.7508,2.9531,-8.2329,1.444,-1.2948,6.3136,1
-6.9672,-6.2429,-6.552,1.4717,0.86501,1.0859,-1.3495,-4.6777,-1.8132,6.2141,100.76,8.5226,-6.6578,1.05,-1.7816,8.1479,-6.6677,-6.786,-6.7634,1.403,1.5145,1.4996,-1.2345,-1.3251,-1.3577,5.5444,6.0951,6.2121,-6.4328,1.3664,-1.4347,6.4625,-3.2305,0.59122,-0.90667,4.4048,-4.0761,1.6745,-1.1479,5.3334,-3.4339,0.64657,-0.85094,4.1256,2.3559,5.0658,-0.93719,3.7983,-3.367,2.1668,-0.65792,4.5485,-1.747,1.6608,-1.0159,5.0431,-1.8851,1.4749,-1.496,6.6713,-6.8108,1.0705,-1.5606,6.9299,-2.4668,1.7908,-0.80469,5.4576,-2.6684,1.6708,-0.98317,4.8509,-7.8405,1.3867,-1.3364,6.3109,1
